DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Piemonte,2022,11.0,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Liguria,2022,10.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Lombardia,2022,9.9,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Abruzzo,2022,9.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Molise,2022,8.3,u
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Campania,2022,16.1,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Puglia,2022,14.6,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Basilicata,2022,5.3,u
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Calabria,2022,10.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Sicilia,2022,18.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Sardegna,2022,14.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Trentino Alto Adige,2022,10.4,u
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Veneto,2022,9.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Friuli-Venezia Giulia,2022,7.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Emilia-Romagna,2022,9.5,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Toscana,2022,10.7,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Umbria,2022,7.3,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Marche,2022,5.8,
ESTAT:EDAT_LFSE_16(1.0),14/09/23 23:00:00,A,PC,T,Y18-24,Lazio,2022,7.4,
